Date,Startup Name,Industry,City,Investors Name,Investment Type,Amount in USD,Remarks
01/01/2020,Paytm,Fintech,Noida,"SoftBank, Alibaba",Series E,1000000000,Funding round
15/03/2020,Byju's,Edtech,Bangalore,"General Atlantic, Tiger Global",Series F,200000000,Investment
20/05/2020,Ola,Mobility,Bangalore,"SoftBank, Tencent",Series J,500000000,Funding
10/07/2020,Flipkart,E-commerce,Bangalore,"Walmart, Tiger Global",Series J,1200000000,Investment
25/09/2020,Zomato,Foodtech,Gurgaon,"Ant Financial, Temasek",Series J,660000000,Funding
05/11/2020,Swiggy,Foodtech,Bangalore,"Prosus, DST Global",Series J,800000000,Investment
12/01/2021,PhonePe,Fintech,Bangalore,"Walmart, Tencent",Series D,700000000,Funding
28/03/2021,Unacademy,Edtech,Bangalore,"SoftBank, General Atlantic",Series F,440000000,Investment
15/06/2021,Dream11,Gaming,Mumbai,"Tiger Global, TPG",Series E,840000000,Funding
30/08/2021,Meesho,Social Commerce,Bangalore,"SoftBank, Fidelity",Series F,570000000,Investment
10/10/2021,Cred,Fintech,Bangalore,"Tiger Global, DST Global",Series E,251000000,Funding
05/12/2021,Groww,Fintech,Bangalore,"Tiger Global, Sequoia",Series E,251000000,Investment
20/02/2022,PharmEasy,Healthtech,Mumbai,"Prosus, TPG Growth",Series E,350000000,Funding
15/04/2022,ShareChat,Social Media,Bangalore,"Google, Temasek",Series H,255000000,Investment
08/06/2022,Mamaearth,D2C,Gurgaon,"Sequoia, Sofina",Series F,210000000,Funding
